32550 	0 	
32650 	0 	
32750 	0 	
32850 	0 	
32950 	1 	
33050 	0 	
33150 	0 	
33250 	0 	
33350 	0 	
33450 	0 	
33550 	0 	
33650 	0 	
33750 	0 	
33850 	0 	
33950 	0 	
