in s,CH2 in V
-9.0300E-07,1.9864822030E-03
-9.0200E-07,1.9610586762E-03
-9.0100E-07,1.9849358201E-03
-9.0000E-07,1.9949584603E-03
-8.9900E-07,1.9769693017E-03
-8.9800E-07,1.9885025620E-03
-8.9700E-07,1.9797211289E-03
-8.9600E-07,1.9761491418E-03
-8.9500E-07,1.9951720834E-03
-8.9400E-07,1.9874249101E-03
-8.9300E-07,1.9917650819E-03
-8.9200E-07,1.9679432511E-03
-8.9100E-07,1.9658780694E-03
-8.9000E-07,1.9754806161E-03
-8.8900E-07,1.9483261704E-03
-8.8800E-07,1.9626050591E-03
-8.8700E-07,1.9804897904E-03
-8.8600E-07,1.9848752618E-03
-8.8500E-07,1.9808450341E-03
-8.8400E-07,1.9686580300E-03
-8.8300E-07,1.9787111878E-03
-8.8200E-07,1.9723654389E-03
-8.8100E-07,1.9719710946E-03
-8.8000E-07,1.9699288011E-03
-8.7900E-07,1.9843402505E-03
-8.7800E-07,1.9776940942E-03
-8.7700E-07,1.9801755548E-03
-8.7600E-07,1.9768229127E-03
-8.7500E-07,1.9744821191E-03
-8.7400E-07,1.9794545770E-03
-8.7300E-07,2.0037384629E-03
-8.7200E-07,1.9904904962E-03
-8.7100E-07,1.9643564820E-03
-8.7000E-07,1.9941797853E-03
-8.6900E-07,1.9657254815E-03
-8.6800E-07,1.9899831414E-03
-8.6700E-07,1.9763498902E-03
-8.6600E-07,1.9834228158E-03
-8.6500E-07,1.9556532502E-03
-8.6400E-07,1.9809437394E-03
-8.6300E-07,1.9732456803E-03
-8.6200E-07,1.9886494279E-03
-8.6100E-07,1.9854574800E-03
-8.6000E-07,1.9649649262E-03
-8.5900E-07,1.9734974504E-03
-8.5800E-07,1.9741397500E-03
-8.5700E-07,1.9733219743E-03
-8.5600E-07,1.9648709893E-03
-8.5500E-07,1.9674139619E-03
-8.5400E-07,1.9684353471E-03
-8.5300E-07,1.9752650857E-03
-8.5200E-07,1.9654317498E-03
-8.5100E-07,1.9746876359E-03
-8.5000E-07,1.9769540429E-03
-8.4900E-07,1.9673219323E-03
-8.4800E-07,1.9568415284E-03
-8.4700E-07,1.9688492417E-03
-8.4600E-07,1.9802199006E-03
-8.4500E-07,1.9596553445E-03
-8.4400E-07,1.9757900834E-03
-8.4300E-07,1.9597497582E-03
-8.4200E-07,1.9643831849E-03
-8.4100E-07,1.9693880677E-03
-8.4000E-07,1.9594488740E-03
-8.3900E-07,1.9736281037E-03
-8.3800E-07,1.9653621316E-03
-8.3700E-07,1.9690170884E-03
-8.3600E-07,1.9703364968E-03
-8.3500E-07,1.9586167932E-03
-8.3400E-07,1.9749813676E-03
-8.3300E-07,1.9551301599E-03
-8.3200E-07,1.9745097756E-03
-8.3100E-07,1.9639368653E-03
-8.3000E-07,1.9781323075E-03
-8.2900E-07,1.9601770043E-03
-8.2800E-07,1.9725289941E-03
-8.2700E-07,1.9684739709E-03
-8.2600E-07,1.9715309739E-03
-8.2500E-07,1.9690600038E-03
-8.2400E-07,1.9643464684E-03
-8.2300E-07,1.9737964273E-03
-8.2200E-07,1.9548636079E-03
-8.2100E-07,1.9761062264E-03
-8.2000E-07,1.9665370584E-03
-8.1900E-07,1.9723249078E-03
-8.1800E-07,1.9717021585E-03
-8.1700E-07,1.9783611894E-03
-8.1600E-07,1.9891119599E-03
-8.1500E-07,1.9697223306E-03
-8.1400E-07,1.9607949853E-03
-8.1300E-07,1.9662171006E-03
-8.1200E-07,1.9673729539E-03
-8.1100E-07,1.9732905030E-03
-8.1000E-07,1.9679260850E-03
-8.0900E-07,1.9665036798E-03
-8.0800E-07,1.9695568681E-03
-8.0700E-07,1.9745364785E-03
-8.0600E-07,1.9660258889E-03
-8.0500E-07,1.9567423463E-03
-8.0400E-07,1.9696894288E-03
-8.0300E-07,1.9680843949E-03
-8.0200E-07,1.9496818185E-03
-8.0100E-07,1.9722328782E-03
-8.0000E-07,1.9432879090E-03
-7.9900E-07,1.9696078897E-03
-7.9800E-07,1.9684644341E-03
-7.9700E-07,1.9636464715E-03
-7.9600E-07,1.9747162461E-03
-7.9500E-07,1.9563494325E-03
-7.9400E-07,1.9512420297E-03
-7.9300E-07,1.9558659196E-03
-7.9200E-07,1.9559426904E-03
-7.9100E-07,1.9532938600E-03
-7.9000E-07,1.9633622766E-03
-7.8900E-07,1.9637938142E-03
-7.8800E-07,1.9554958940E-03
-7.8700E-07,1.9549627900E-03
-7.8600E-07,1.9431686997E-03
-7.8500E-07,1.9677138925E-03
-7.8400E-07,1.9618149400E-03
-7.8300E-07,1.9551330209E-03
-7.8200E-07,1.9667373300E-03
-7.8100E-07,1.9583073258E-03
-7.8000E-07,1.9570780396E-03
-7.7900E-07,1.9438844323E-03
-7.7800E-07,1.9479051232E-03
-7.7700E-07,1.9595938325E-03
-7.7600E-07,1.9421187043E-03
-7.7500E-07,1.9763632417E-03
-7.7400E-07,1.9566698670E-03
-7.7300E-07,1.9565187097E-03
-7.7200E-07,1.9553142190E-03
-7.7100E-07,1.9566522241E-03
-7.7000E-07,1.9533224702E-03
-7.6900E-07,1.9564009309E-03
-7.6800E-07,1.9612999558E-03
-7.6700E-07,1.9502030015E-03
-7.6600E-07,1.9682484269E-03
-7.6500E-07,1.9415140748E-03
-7.6400E-07,1.9588795304E-03
-7.6300E-07,1.9505777955E-03
-7.6200E-07,1.9634609818E-03
-7.6100E-07,1.9592152238E-03
-7.6000E-07,1.9630051255E-03
-7.5900E-07,1.9409728646E-03
-7.5800E-07,1.9472547174E-03
-7.5700E-07,1.9516893029E-03
-7.5600E-07,1.9536696076E-03
-7.5500E-07,1.9486151338E-03
-7.5400E-07,1.9675078988E-03
-7.5300E-07,1.9482789636E-03
-7.5200E-07,1.9467125535E-03
-7.5100E-07,1.9608355165E-03
-7.5000E-07,1.9537273049E-03
-7.4900E-07,1.9606547952E-03
-7.4800E-07,1.9734354615E-03
-7.4700E-07,1.9565563798E-03
-7.4600E-07,1.9568782449E-03
-7.4500E-07,1.9487205148E-03
-7.4400E-07,1.9652453065E-03
-7.4300E-07,1.9644208550E-03
-7.4200E-07,1.9714933038E-03
-7.4100E-07,1.9578705430E-03
-7.4000E-07,1.9617739320E-03
-7.3900E-07,1.9651332498E-03
-7.3800E-07,1.9479776025E-03
-7.3700E-07,1.9619560838E-03
-7.3600E-07,1.9567838311E-03
-7.3500E-07,1.9543605447E-03
-7.3400E-07,1.9675393701E-03
-7.3300E-07,1.9593935609E-03
-7.3200E-07,1.9524741769E-03
-7.3100E-07,1.9583144784E-03
-7.3000E-07,1.9571233392E-03
-7.2900E-07,1.9500752091E-03
-7.2800E-07,1.9530492425E-03
-7.2700E-07,1.9460693002E-03
-7.2600E-07,1.9608789086E-03
-7.2500E-07,1.9389443994E-03
-7.2400E-07,1.9545531869E-03
-7.2300E-07,1.9575081468E-03
-7.2200E-07,1.9542933106E-03
-7.2100E-07,1.9433847070E-03
-7.2000E-07,1.9459972978E-03
-7.1900E-07,1.9562430978E-03
-7.1800E-07,1.9351764321E-03
-7.1700E-07,1.9578443170E-03
-7.1600E-07,1.9467363954E-03
-7.1500E-07,1.9468165040E-03
-7.1400E-07,1.9525728822E-03
-7.1300E-07,1.9435916543E-03
-7.1200E-07,1.9463754296E-03
-7.1100E-07,1.9493880868E-03
-7.1000E-07,1.9690390229E-03
-7.0900E-07,1.9549255967E-03
-7.0800E-07,1.9423385262E-03
-7.0700E-07,1.9395094514E-03
-7.0600E-07,1.9482455850E-03
-7.0500E-07,1.9569779038E-03
-7.0400E-07,1.9460983872E-03
-7.0300E-07,1.9354353547E-03
-7.0200E-07,1.9306164384E-03
-7.0100E-07,1.9573135972E-03
-7.0000E-07,1.9379149079E-03
-6.9900E-07,1.9437060952E-03
-6.9800E-07,1.9347768426E-03
-6.9700E-07,1.9621554017E-03
-6.9600E-07,1.9487443566E-03
-6.9500E-07,1.9349799752E-03
-6.9400E-07,1.9635568261E-03
-6.9300E-07,1.9362817407E-03
-6.9200E-07,1.9433661103E-03
-6.9100E-07,1.9524455667E-03
-6.9000E-07,1.9466896653E-03
-6.8900E-07,1.9483118653E-03
-6.8800E-07,1.9330025315E-03
-6.8700E-07,1.9313951135E-03
-6.8600E-07,1.9381394982E-03
-6.8500E-07,1.9288912416E-03
-6.8400E-07,1.9517269731E-03
-6.8300E-07,1.9276385903E-03
-6.8200E-07,1.9306703210E-03
-6.8100E-07,1.9457979798E-03
-6.8000E-07,1.9351244569E-03
-6.7900E-07,1.9461479783E-03
-6.7800E-07,1.9273219705E-03
-6.7700E-07,1.9290261865E-03
-6.7600E-07,1.9461446404E-03
-6.7500E-07,1.9311161637E-03
-6.7400E-07,1.9297342896E-03
-6.7300E-07,1.9445653558E-03
-6.7200E-07,1.9412737489E-03
-6.7100E-07,1.9417048097E-03
-6.7000E-07,1.9491816163E-03
-6.6900E-07,1.9293337464E-03
-6.6800E-07,1.9339576364E-03
-6.6700E-07,1.9394741654E-03
-6.6600E-07,1.9373469949E-03
-6.6500E-07,1.9367437959E-03
-6.6400E-07,1.9224558473E-03
-6.6300E-07,1.9373684525E-03
-6.6200E-07,1.9232707620E-03
-6.6100E-07,1.9235668778E-03
-6.6000E-07,1.9457421899E-03
-6.5900E-07,1.9402723908E-03
-6.5800E-07,1.9287496209E-03
-6.5700E-07,1.9328246713E-03
-6.5600E-07,1.9289651513E-03
-6.5500E-07,1.9330549836E-03
-6.5400E-07,1.9331584573E-03
-6.5300E-07,1.9430733323E-03
-6.5200E-07,1.9296022058E-03
-6.5100E-07,1.9427557588E-03
-6.5000E-07,1.9361835122E-03
-6.4900E-07,1.9321108460E-03
-6.4800E-07,1.9210129380E-03
-6.4700E-07,1.9347754121E-03
-6.4600E-07,1.9298596978E-03
-6.4500E-07,1.9454069734E-03
-6.4400E-07,1.9316597581E-03
