Threshold [mV] - 0 (yellow);Frequency  [kHz] - 0 (yellow)
-1;557,815
-2;0,25046
-3;0,162007
-4;0,0781867
-5;0,00231333
-6;0,00184
-7;0,000653333
-8;0,000246667
-10;3.33E+00
