Timestep;Frequency  [kHz] - 52.5;Frequency  [kHz] - 53;Frequency  [kHz] - 53.5;Frequency  [kHz] - 53.8;Frequency  [kHz] - 54;Frequency  [kHz] - 54.3;Frequency  [kHz] - 54.5;Frequency  [kHz] - 54.8;Frequency  [kHz] - 55;Frequency  [kHz] - 55.3;Frequency  [kHz] - 55.5;Frequency  [kHz] - 55.8;Frequency  [kHz] - 56
64;0;0,005;0,385;20,445;55,895;70,76;74,97;82,825;88,46;94,915;101,095;108,495;112,2
65;0;0,01;0,325;20,66;56,255;70,075;74,955;84,05;88,06;94,9;100,235;107,085;112,22
66;0;0;0,33;20,195;55,36;71,615;75,105;83,575;88,015;94,985;100,255;107,615;111,25
67;0;0,02;0,335;20,57;55,6;70,655;74,46;83,52;87,335;96,105;99,745;106,255;110,945
68;0;0,02;0,39;20,205;56,305;70,545;74,925;83,31;89,485;95,245;100,465;107,92;112,09
69;0;0,035;0,33;19,89;55,74;69,74;74,77;83,865;88,515;96,275;102,225;107,235;111,945
70;0;0,005;0,355;20,045;56,41;69,78;74,21;82,965;88,5;94,665;101,085;107,235;112,8
71;0;0,02;0,345;20,01;56,305;70,245;75,335;83,755;88,815;94,87;101,63;106,885;112,865
72;0;0,015;0,38;20,225;55,965;70,83;75,42;82,235;87,59;94,34;99,485;107,6;111,465
73;0;0,02;0,395;20,225;55,595;70,975;75,81;83,675;88,015;96,235;99,755;108,325;111,985
74;0;0,02;0,35;19,75;56,365;70,525;74,515;83,485;87,565;96,47;100,105;106,76;112,195
75;0;0,02;0,43;19,47;56,565;69,885;75,515;84,125;88,02;95,175;100,08;106,815;112,045
76;0;0,02;0,41;20,185;57,125;69,88;75,42;82,98;86,94;94,44;98,995;108,285;112,63
77;0;0,015;0,39;20,12;56,295;70,27;75,295;83,905;89,195;95,45;100,655;107,07;112,04
78;0;0,01;0,405;19,66;57,315;70,83;75,04;83,725;88,845;96,14;101,59;106,745;111,51
79;0;0,005;0,4;19,825;56,015;69,395;76,65;82,835;88,05;95,225;101,735;107,55;111,54
80;0;0,035;0,285;19,995;56,305;69,87;75,95;83,115;87,525;95,42;100,81;106,95;111,285
81;0;0,015;0,335;19,87;56,955;69,765;75,175;82,905;87,785;95,235;102,26;107,74;110,285
